Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation (high resolution)  [sfc];Total Precipitation (low resolution)  [sfc];Snowfall Amount (high resolution)  [sfc];Snowfall Amount (low resolution)  [sfc];Total Cloud Cover  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb];Wind Gust  [sfc]
2019;06;16;15;00;27.98;71.00;1010.10;0.00;0.00;0.00;0.00;10.00;0.00;0.00;10.00;53.62;675.51;4.84;131.99;4.20;120.96;5.09;98.13;7.92
2019;06;16;16;00;27.83;71.00;1009.40;0.00;0.00;0.00;0.00;10.00;0.00;0.00;10.00;53.62;526.88;4.10;127.87;4.21;109.98;5.41;86.19;12.24
2019;06;16;17;00;27.49;70.00;1009.90;0.00;0.00;0.00;0.00;10.00;0.00;0.00;10.00;53.62;344.43;3.71;119.05;3.98;95.19;5.94;75.96;11.16
2019;06;16;18;00;26.93;76.00;1010.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;53.62;151.30;2.41;153.43;2.74;113.20;8.85;63.43;1.44
2019;06;16;19;00;25.40;79.00;1011.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;24.91;8.01;2.41;206.57;0.36;180.00;12.07;63.43;2.52
2019;06;16;20;00;25.06;81.00;1011.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.19;260.54;1.61;296.57;13.10;69.08;3.96
2019;06;16;21;00;24.99;80.00;1012.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.31;321.34;2.97;345.96;13.05;65.56;3.60
2019;06;16;22;00;25.10;76.00;1012.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.32;12.53;4.51;28.61;14.71;68.46;9.36
2019;06;16;23;00;24.73;75.00;1012.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.55;18.43;5.80;29.74;15.84;68.68;4.68
2019;06;17;00;00;24.37;75.00;1012.10;0.00;0.00;0.00;0.00;73.00;0.00;0.00;73.00;0.00;0.00;5.05;4.09;6.64;12.53;15.72;69.90;5.40
2019;06;17;01;00;24.42;74.00;1011.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.76;360.00;7.59;5.44;15.14;72.00;6.84
2019;06;17;02;00;24.06;76.00;1011.20;0.00;0.00;0.00;0.00;10.00;0.00;0.00;10.00;0.00;0.00;6.49;3.18;8.76;9.46;15.48;72.41;7.56
2019;06;17;03;00;23.66;79.00;1011.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.84;360.00;9.83;8.43;15.83;72.80;10.44
2019;06;17;04;00;23.33;83.00;1010.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.48;360.00;10.11;4.09;16.87;78.93;9.72
